"kaynak","kategori","kategori_adi","term","risk_turu","risk_puani","active","baglam_kurali","updated_at"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","dehşet ifadesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","dehşet sahnesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","gece korkusu","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","gece korkusu anlatımı","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","gece korkusu ifadesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","gece korkusu sahnesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","hayalet","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","hayalet anlatımı","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","hayalet göndermesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","hayalet ifadesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","hayalet sahnesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","iblis","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","iblis anlatımı","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","iblis göndermesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","iblis ifadesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","iblis sahnesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","kabus","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","kabus anlatımı","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","kabus göndermesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","kabus ifadesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","kabus sahnesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","kaçış","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","kaçış anlatımı","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","kaçış göndermesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","kaçış ifadesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","kaçış sahnesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","kanlı yüz","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","kanlı yüz anlatımı","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","kanlı yüz ifadesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","kanlı yüz sahnesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","karabasan","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","karabasan anlatımı","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
"Sistem","korku_travma","Korku, Travma ve Karanlık Unsurlar","karabasan ifadesi","Kelime / ifade","3","True","6-10 yaş için daha sıkı değerlendirilir","Sistem varsayılanı"
