"kaynak","kategori","kategori_adi","term","risk_turu","risk_puani","active","baglam_kurali","updated_at"
"Özel","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","dudaktan optu","Kelime / ifade","4","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Özel","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","opustu","Kelime / ifade","4","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Özel","siddet_suc","Şiddet ve Suç","bicak cekti","Kelime / ifade","3","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Özel","siddet_suc","Şiddet ve Suç","pompali","Kelime / ifade","3","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Özel","siddet_suc","Şiddet ve Suç","silah[ıi]n[ıi]\s+cekti","Regex","3","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Özel","siddet_suc","Şiddet ve Suç","tabanca","Kelime / ifade","3","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Özel","zararlı_alışkanlıklar","Zararlı Alışkanlıklar","alkollu\s+arac\s+kulland[ıi]","Regex","4","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Özel","zararlı_alışkanlıklar","Zararlı Alışkanlıklar","elektronik sigara","Kelime / ifade","4","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Özel","zararlı_alışkanlıklar","Zararlı Alışkanlıklar","nargile","Kelime / ifade","4","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Özel","zararlı_alışkanlıklar","Zararlı Alışkanlıklar","sigara","Kelime / ifade","4","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Özel","zararlı_alışkanlıklar","Zararlı Alışkanlıklar","vape","Kelime / ifade","4","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","aşağı ırk","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","aşağı ırk anlatımı","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","aşağı ırk ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","aşağı ırk sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","ayrımcı lakap","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","ayrımcı lakap ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","ayrımcı lakap sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","azınlık düşmanlığı","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","azınlık düşmanlığı ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","azınlık düşmanlığı sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","beden aşağılama","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","beden aşağılama ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","beden aşağılama sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","cinsiyetçi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","cinsiyetçi anlatımı","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","cinsiyetçi ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","cinsiyetçi sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","çirkin","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","çirkin anlatımı","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","çirkin ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","çirkin sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","dış görünüşle alay","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","dış görünüşle alay ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","dış görünüşle alay sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","dil aşağılaması","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","dil aşağılaması ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","dil aşağılaması sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","din düşmanlığı","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","din düşmanlığı anlatımı","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","din düşmanlığı ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","din düşmanlığı sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","engelliyle alay","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","engelliyle alay anlatımı","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","engelliyle alay ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","engelliyle alay sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","erkek işi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","erkek işi anlatımı","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","erkek işi ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","erkek işi sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","fakir çocuk","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","fakir çocuk anlatımı","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","fakir çocuk ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","fakir çocuk sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","hakaret içeren kimlik","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","hakaret içeren kimlik ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","hakaret içeren kimlik sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","ırkçı","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","ırkçı anlatımı","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","ırkçı göndermesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","ırkçı ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","ırkçı sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","ırkçılık","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","ırkçılık anlatımı","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","ırkçılık ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","ırkçılık sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","kısa boylu","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","kısa boylu anlatımı","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","kısa boylu ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","kısa boylu sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","kızlar yapamaz","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","kızlar yapamaz anlatımı","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","kızlar yapamaz ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","kızlar yapamaz sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","köylü hakareti","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","köylü hakareti ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","köylü hakareti sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","mezhepçilik","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","mezhepçilik anlatımı","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","mezhepçilik ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","mezhepçilik sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","nefret","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","nefret anlatımı","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","nefret göndermesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","nefret ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","nefret sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","ötekileştirme","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","ötekileştirme anlatımı","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","ötekileştirme ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","ötekileştirme sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","sosyal sınıf aşağılama","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","sosyal sınıf aşağılama ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","sosyal sınıf aşağılama sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","şişman","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","şişman anlatımı","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","şişman ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","şişman sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","yabancı düşmanlığı","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","yabancı düşmanlığı ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","yabancı düşmanlığı sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","yoksulla alay","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","yoksulla alay ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","yoksulla alay sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","aile","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","aile bütünlüğü","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","aileden","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","ailesinden","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","anne","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","ayıba","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","ayıbı","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","ayıbla","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","ayıp","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","ayıp","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","ayıp ifadesi","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","ayıp sahnesi","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","ayıplar","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","ayrı yaşama","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","baba","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","birbirlerini seviyordu","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","birbirlerini seviyorlardı","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","boşandı","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","boşanma","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","boşanmış","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","cinsel","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","cinsel","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","cinsel anlatımı","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","cinsel davranışı","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","cinsel göndermesi","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","cinsel ifadesi","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","cinsel ilişki","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","cinsel sahnesi","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","cinsel vurgusu","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","cinselllik","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","çıplağı","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","çıplağın","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","çıplak","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","çıplak","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","çıplak anlatımı","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","çıplak davranışı","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","çıplak göndermesi","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","çıplak ifadesi","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","çıplak sahnesi","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","çıplak vurgusu","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","çıplakça","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","dudaktan öptü","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","dudaktan öpüşme","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","erotik","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","erotik","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","erotik anlatımı","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","erotik davranışı","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","erotik göndermesi","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","erotik ifadesi","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","erotik sahnesi","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","erotik vurgusu","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","erotiklik","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","eş","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","evlenmek","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","evlilik","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","evlilik dışı ilişki","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","fahişe","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","fahişelik","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","fiziksel yakınlaşma","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","flört","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","flört etmek","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","fuhuş","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","ırz","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","ırz","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","ırz ifadesi","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","ırz sahnesi","Kelime / ifade","4","True","Varsayılan bağlam analizi","Sistem varsayılanı"
